period,interest,riskGroup,gyraMaisFee,bankFee,partnerFee,type
19,0.0399,2,0.0405,0.0095,0.02,"00213648000146,"
20,0.0399,2,0.0405,0.0095,0.02,"00213648000146,"
21,0.0399,2,0.0405,0.0095,0.02,"00213648000146,"
22,0.0399,2,0.0405,0.0095,0.02,"00213648000146,"
23,0.0399,2,0.0405,0.0095,0.02,"00213648000146,"
24,0.0399,2,0.0405,0.0095,0.02,"00213648000146,"
1,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
2,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
3,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
4,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
5,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
6,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
7,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
8,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
9,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
10,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
11,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
12,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
13,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
14,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
15,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
16,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
17,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
18,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
19,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
20,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
21,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
22,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
23,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
24,0.0299,3,0.0405,0.0095,0.02,"00213648000146,"
1,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
2,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
3,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
4,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
5,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
6,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
7,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
8,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
9,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
10,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
11,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
12,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
13,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
14,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
15,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
16,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
17,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
18,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
19,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
20,0.0249,4,0.0405,0.0095,0.02,"00213648000146,"
